ano;cod_ibge;nome_mun;populacao;homens;mulheres;razao_sexo;id_media;dens_demog
2000;3500105;Adamantina;33484;16318;17166;105,2;33,7;81,3
2000;3500204;Adolfo;3680;1868;1812;97;32,2;17,4
2000;3500303;Aguaí;28145;14109;14036;99,5;30,3;59,3
2000;3500402;Águas da Prata;7127;3591;3536;98,5;33,9;50
2000;3500501;Águas de Lindóia;16145;8000;8145;101,8;31,9;268,5
2000;3500550;Águas de Santa Bárbara;5210;2631;2579;98;31,1;12,9
2000;3500600;Águas de São Pedro;1881;867;1014;117;37,8;520,7
2000;3500709;Agudos;32459;16135;16324;101,2;29,1;33,6
2000;3500758;Alambari;3647;1878;1769;94,2;29,3;22,9
2000;3500808;Alfredo Marcondes;3695;1881;1814;96,4;34;31,1
2000;3500907;Altair;3527;1880;1647;87,6;29,1;11,3
2000;3501004;Altinópolis;15463;7814;7649;97,9;31,2;16,6
2000;3501103;Alto Alegre;4266;2221;2045;92,1;34,7;13,4
2000;3501152;Alumínio;15237;7691;7546;98,1;27,7;182,2
2000;3501202;Álvares Florence;4322;2260;2062;91,2;35,2;11,9
2000;3501301;Álvares Machado;22622;11379;11243;98,8;30,2;65,1
2000;3501400;Álvaro de Carvalho;4099;2460;1639;66,6;29,7;26,7
2000;3501509;Alvinlândia;2834;1431;1403;98;30,1;33,4
2000;3501608;Americana;182300;90191;92109;102,1;31,8;1361,3
2000;3501707;Américo Brasiliense;28196;14356;13840;96,4;27,4;229,3
2000;3501806;Américo de Campos;5594;2804;2790;99,5;33,8;22,1
2000;3501905;Amparo;60305;30073;30232;100,5;32,1;135,4
2000;3502002;Analândia;3576;1852;1724;93,1;30,8;11
2000;3502101;Andradina;55134;27187;27947;102,8;32,4;57,2
2000;3502200;Angatuba;19276;9921;9355;94,3;30,3;18,8
2000;3502309;Anhembi;4524;2331;2193;94,1;30,3;6,1
2000;3502408;Anhumas;3409;1742;1667;95,7;30,9;10,6
2000;3502507;Aparecida;34888;17117;17771;103,8;30,3;288,6
2000;3502606;Aparecida d'Oeste;4936;2454;2482;101,1;33,8;27,6
2000;3502705;Apiaí;27153;13702;13451;98,2;26,7;27,9
2000;3502754;Araçariguama;11104;5706;5398;94,6;27;76,5
2000;3502804;Araçatuba;169087;81903;87184;106,4;32,2;144,9
2000;3502903;Araçoiaba da Serra;19758;9960;9798;98,4;30,5;77,4
2000;3503000;Aramina;4756;2423;2333;96,3;31,8;23,4
2000;3503109;Arandu;6060;3085;2975;96,4;28,5;21,2
2000;3503158;Arapeí;2615;1305;1310;100,4;31,2;16,7
2000;3503208;Araraquara;182240;88630;93610;105,6;32,4;181,6
2000;3503307;Araras;104024;51993;52031;100,1;30,9;161,3
2000;3503356;Arco-Íris;2167;1143;1024;89,6;32,7;8,2
2000;3503406;Arealva;7240;3725;3515;94,4;33,8;14,3
2000;3503505;Areias;3597;1818;1779;97,9;29,1;11,8
2000;3503604;Areiópolis;10293;5295;4998;94,4;26,8;119,8
2000;3503703;Ariranha;7460;3809;3651;95,9;32,4;56,2
2000;3503802;Artur Nogueira;32965;16535;16430;99,4;28,6;185,2
2000;3503901;Arujá;58933;29388;29545;100,5;27,2;612,8
2000;3503950;Aspásia;1864;967;897;92,8;33,4;26,9
2000;3504008;Assis;87135;42383;44752;105,6;32,3;189,2
2000;3504107;Atibaia;111033;55201;55832;101,1;30,2;232
2000;3504206;Auriflama;13506;6814;6692;98,2;32,1;31,1
2000;3504305;Avaí;4597;2392;2205;92,2;30,5;8,5
2000;3504404;Avanhandava;8820;4399;4421;100,5;29,4;26,1
2000;3504503;Avaré;76312;38102;38210;100,3;30,6;62,9
2000;3504602;Bady Bassitt;11475;5789;5686;98,2;30,6;104
2000;3504701;Balbinos;1312;676;636;94,1;32,5;14,3
2000;3504800;Bálsamo;7334;3659;3675;100,4;33,6;48,9
2000;3504909;Bananal;9707;4819;4888;101,4;31,2;15,7
2000;3505005;Barão de Antonina;2796;1429;1367;95,7;31,7;18,3
2000;3505104;Barbosa;5833;2939;2894;98,5;30,1;28,4
2000;3505203;Bariri;28187;14113;14074;99,7;33,1;63,4
2000;3505302;Barra Bonita;35439;17708;17731;100,1;31,5;236,1
2000;3505351;Barra do Chapéu;4846;2610;2236;85,7;27,6;11,9
2000;3505401;Barra do Turvo;8098;4248;3850;90,6;27,5;8
2000;3505500;Barretos;103829;50627;53202;105,1;31,8;66,3
2000;3505609;Barrinha;24150;12253;11897;97,1;26,7;165,4
2000;3505708;Barueri;207372;102435;104937;102,4;26,5;3156,3
2000;3505807;Bastos;20573;10239;10334;100,9;30;120,4
2000;3505906;Batatais;51041;25327;25714;101,5;31,7;60,1
2000;3506003;Bauru;315493;154156;161337;104,7;31,3;472,5
2000;3506102;Bebedouro;74743;36864;37879;102,8;31;109,4
2000;3506201;Bento de Abreu;2394;1224;1170;95,6;31,3;7,9
2000;3506300;Bernardino de Campos;10713;5315;5398;101,6;33,1;43,9
2000;3506359;Bertioga;29771;15373;14398;93,7;26,8;60,6
2000;3506409;Bilac;6082;2995;3087;103,1;33,8;38,5
2000;3506508;Birigui;94098;46351;47747;103;31,2;177,5
2000;3506607;Biritiba Mirim;24579;12463;12116;97,2;28,1;77,4
2000;3506706;Boa Esperança do Sul;12551;6381;6170;96,7;28,8;18,2
2000;3506805;Bocaina;9419;4700;4719;100,4;31,6;25,9
2000;3506904;Bofete;7338;3849;3489;90,6;30;11,2
2000;3507001;Boituva;34240;17335;16905;97,5;29,3;137,5
2000;3507100;Bom Jesus dos Perdões;13275;6671;6604;99;29;122,5
2000;3507159;Bom Sucesso de Itararé;3221;1665;1556;93,5;25,1;24,1
2000;3507209;Borá;795;407;388;95,3;31,1;6,7
2000;3507308;Boracéia;3736;1926;1810;94;30,8;30,6
2000;3507407;Borborema;13183;6691;6492;97;32,7;23,9
2000;3507456;Borebi;1927;1001;926;92,5;28,9;5,5
2000;3507506;Botucatu;108124;52788;55336;104,8;31,5;72,9
2000;3507605;Bragança Paulista;124766;61772;62994;102;30,7;243,4
2000;3507704;Braúna;4382;2236;2146;96;33,6;22,5
2000;3507753;Brejo Alegre;2306;1194;1112;93,1;30,5;21,8
2000;3507803;Brodowski;17104;8599;8505;98,9;30,9;61,4
2000;3507902;Brotas;18838;9499;9339;98,3;31,2;17,1
2000;3508009;Buri;17595;9253;8342;90,2;27,5;14,7
2000;3508108;Buritama;13843;6885;6958;101,1;31,9;42,3
2000;3508207;Buritizal;3675;1870;1805;96,5;32,2;13,8
2000;3508306;Cabrália Paulista;4648;2332;2316;99,3;28,9;19,4
2000;3508405;Cabreúva;32926;16858;16068;95,3;27;126,5
2000;3508504;Caçapava;76027;37747;38280;101,4;29,6;206
2000;3508603;Cachoeira Paulista;27164;13482;13682;101,5;30,6;94,3
2000;3508702;Caconde;18367;9311;9056;97,3;30,3;39,2
2000;3508801;Cafelândia;15789;7808;7981;102,2;32,1;17,2
2000;3508900;Caiabu;4075;2086;1989;95,3;31,6;16,1
2000;3509007;Caieiras;70825;35155;35670;101,5;27,7;725,4
2000;3509106;Caiuá;4183;2184;1999;91,5;30,6;7,6
2000;3509205;Cajamar;50568;25488;25080;98,4;26,7;384,9
2000;3509254;Cajati;29176;15075;14101;93,5;26,7;64,2
2000;3509304;Cajobi;9170;4733;4437;93,7;31,3;51,8
2000;3509403;Cajuru;20755;10523;10232;97,2;30;31,4
2000;3509452;Campina do Monte Alegre;5195;2668;2527;94,7;29,8;28,2
2000;3509502;Campinas;968160;471574;496586;105,3;31,2;1218,5
2000;3509601;Campo Limpo Paulista;63520;31658;31862;100,6;28,4;800
2000;3509700;Campos do Jordão;44178;21941;22237;101,3;27,8;152,3
2000;3509809;Campos Novos Paulista;4179;2165;2014;93;31,5;8,6
2000;3509908;Cananéia;12267;6201;6066;97,8;28,3;9,9
2000;3509957;Canas;3605;1865;1740;93,3;28,8;67,7
2000;3510005;Cândido Mota;29241;14619;14622;100;31,2;49,1
2000;3510104;Cândido Rodrigues;2610;1287;1323;102,8;35,3;36,8
2000;3510153;Canitar;3469;1767;1702;96,3;27,8;60,4
2000;3510203;Capão Bonito;46729;23482;23247;99;28,1;28,5
2000;3510302;Capela do Alto;14210;7294;6916;94,8;28,1;83,6
2000;3510401;Capivari;41393;20585;20808;101,1;29,7;128,2
2000;3510500;Caraguatatuba;78628;39576;39052;98,7;28,8;162,1
2000;3510609;Carapicuíba;343962;168540;175422;104,1;27,2;9956,7
2000;3510708;Cardoso;11611;5748;5863;102;32,9;18,2
2000;3510807;Casa Branca;26785;14121;12664;89,7;32,2;31
2000;3510906;Cássia dos Coqueiros;2870;1486;1384;93,1;31,1;15
2000;3511003;Castilho;14945;7470;7475;100,1;31;14
